candidate,fold_idx,train_start,train_end,test_start,test_end,chosen_params,oos_pf,oos_avg_trade_pct,oos_trades,oos_return_pct,oos_maxdd_pct
supertrend,0,2020-01-01,2021-12-31,2022-01-01,2022-06-30,"{""st_period"": 10, ""st_multiplier"": 2.0}",1.1000154062519405,0.06151718078493129,34,2.6931996939893565,-18.77328771432679
supertrend,1,2020-07-01,2022-06-30,2022-07-01,2022-12-31,"{""st_period"": 7, ""st_multiplier"": 2.5}",0.9844932622342943,-0.09487054883056123,26,-1.5906534211922452,-17.038747199972036
supertrend,2,2021-01-01,2022-12-31,2023-01-01,2023-06-30,"{""st_period"": 7, ""st_multiplier"": 2.5}",0.8039818106517945,-0.39277116197798945,23,-4.742219476823872,-21.150999222306034
supertrend,3,2021-07-01,2023-06-30,2023-07-01,2023-12-31,"{""st_period"": 7, ""st_multiplier"": 4.0}",0.2813641876045493,-1.156500108841907,16,-14.22504459341425,-17.790271242063717
supertrend,4,2022-01-01,2023-12-31,2024-01-01,2024-06-30,"{""st_period"": 20, ""st_multiplier"": 3.0}",2.0900552601142626,1.422511384916847,20,24.023168744602508,-10.063095164972403
supertrend,5,2022-07-01,2024-06-30,2024-07-01,2024-12-31,"{""st_period"": 20, ""st_multiplier"": 3.0}",0.7740466805231229,-0.4309435408864526,26,-4.654066538652724,-14.145916166771965
supertrend,6,2023-01-01,2024-12-31,2025-01-01,2025-06-30,"{""st_period"": 20, ""st_multiplier"": 3.0}",0.6877610931100846,-0.545666664127753,22,-6.288713317625083,-17.41886794760148
supertrend,7,2023-07-01,2025-06-30,2025-07-01,2025-12-31,"{""st_period"": 20, ""st_multiplier"": 2.0}",0.26577640057510254,-1.0373692875099372,47,-37.90147007303306,-38.8724586260892
st-adx,0,2020-01-01,2021-12-31,2022-01-01,2022-06-30,"{""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 20}",1.0116898923659654,-0.13608891283151126,13,-2.151906719433372,-9.186223223854373
st-adx,1,2020-07-01,2022-06-30,2022-07-01,2022-12-31,"{""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 20}",1.2227751168855596,0.26996643123671227,12,6.449615055315183,-7.064775402230206
st-adx,2,2021-01-01,2022-12-31,2023-01-01,2023-06-30,"{""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 20}",1.2802268996551132,0.2919022703112395,9,-0.5419940805849732,-9.206617093300551
st-adx,3,2021-07-01,2023-06-30,2023-07-01,2023-12-31,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 15}",0.44993583750789595,-0.7935772264829999,29,-15.679162810105451,-24.679869891880745
st-adx,4,2022-01-01,2023-12-31,2024-01-01,2024-06-30,"{""st_period"": 14, ""st_multiplier"": 3.0, ""st_adx_min"": 25}",1.0586399251299168,0.005726375356251978,7,3.7929492610177196,-8.807937045575054
st-adx,5,2022-07-01,2024-06-30,2024-07-01,2024-12-31,"{""st_period"": 14, ""st_multiplier"": 3.0, ""st_adx_min"": 25}",1.3002845026520042,0.40451319019021437,12,8.043211354776659,-7.4901576481864796
st-adx,6,2023-01-01,2024-12-31,2025-01-01,2025-06-30,"{""st_period"": 14, ""st_multiplier"": 3.0, ""st_adx_min"": 25}",1.2007310110704168,0.27746947629878616,8,4.140255221329503,-9.318714192122346
st-adx,7,2023-07-01,2025-06-30,2025-07-01,2025-12-31,"{""st_period"": 14, ""st_multiplier"": 3.0, ""st_adx_min"": 20}",1.0890068078128337,0.06608945429258384,12,7.5652250515987784,-7.161720258410698
st-ema,0,2020-01-01,2021-12-31,2022-01-01,2022-06-30,"{""st_period"": 20, ""st_multiplier"": 4.0, ""st_ema_period"": 200}",0.43030024241212567,-1.7736445859183991,8,-7.754997077545045,-14.87487529014625
st-ema,1,2020-07-01,2022-06-30,2022-07-01,2022-12-31,"{""st_period"": 7, ""st_multiplier"": 2.5, ""st_ema_period"": 200}",1.1166628442148088,0.07168426211963119,14,-5.522891394622242,-12.51732559641805
st-ema,2,2021-01-01,2022-12-31,2023-01-01,2023-06-30,"{""st_period"": 7, ""st_multiplier"": 2.5, ""st_ema_period"": 200}",0.5846188533198644,-0.8031844643710762,11,-5.789340536941068,-15.118853917367336
st-ema,3,2021-07-01,2023-06-30,2023-07-01,2023-12-31,"{""st_period"": 7, ""st_multiplier"": 4.0, ""st_ema_period"": 100}",0.31020675660500846,-1.0758570443886506,15,-12.477565879340723,-16.052059854097344
